code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
3.9.d	3.9	alinea	avaliativo_comum	7	True	Estatuto da Criança e do Adolescente (Lei nº 8.069/1990);
3.9.e	3.9	alinea	avaliativo_comum	7	True	Estatuto da Pessoa com Deficiência (Lei nº 13.146/2015);
3.9.f	3.9	alinea	avaliativo_comum	7	True	Estatuto do Idoso (Lei nº 10.741/2003);
3.9.g	3.9	alinea	avaliativo_comum	7	True	Política Nacional de Educação Ambiental (Lei nº 9.795/1999);
3.9.h	3.9	alinea	avaliativo_comum	7	True	História e Cultura Afro-Brasileira e Indígena (Lei nº 10.639/2003 e Lei nº 11.645/2008);
3.9.i	3.9	alinea	avaliativo_comum	7	True	Lei que dispõe sobre a utilização, por estudantes, de aparelhos eletrônicos portáteis pessoais nos estabelecimentos públicos e privados de ensino da Educação Básica (Lei nº 15.100/2025);
3.9.j	3.9	alinea	avaliativo_comum	7	True	Lei que institui a Política Nacional de Educação Digital (Lei nº 14.533/2023);
3.9.k	3.9	alinea	avaliativo_comum	7	True	Política Nacional de Atenção Integral à Saúde da Criança (Portaria nº 1.130/2015);
3.9.l	3.9	alinea	avaliativo_comum	7	True	Código de Trânsito Brasileiro (Lei nº 9.503/1997);
3.9.m	3.9	alinea	avaliativo_comum	7	True	Decreto nº 7.611/2011, que dispõe sobre o Atendimento Educacional Especializado (AEE);
3.9.n	3.9	alinea	avaliativo_comum	7	True	Diretrizes Curriculares Nacionais Gerais para a Educação Básica (Parecer CNE/CEB nº 7/2010 e Resolução CNE/CEB nº 4/2010);
3.9.o	3.9	alinea	avaliativo_comum	7	True	Diretrizes Curriculares Nacionais para a Educação Ambiental (Resolução CNE/CEB nº 2/2012);
3.9.p	3.9	alinea	avaliativo_comum	7	True	Diretrizes Nacionais para a Educação Escolar Quilombola (Resolução CNE/CEB nº 8/2012);
3.9.q	3.9	alinea	avaliativo_comum	7	True	Diretrizes Operacionais para a Educação Básica nas Escolas do Campo (Parecer CNE/CEB nº 36/2001, Resolução CNE/CEB nº 1/2002, Parecer CNE/CEB nº 3/2008 e Resolução CNE/CEB nº 2/2008);
3.9.r	3.9	alinea	avaliativo_comum	7	True	Portaria nº 635, de 10 de julho de 2024, que institui o Programa de Fortalecimento para os Anos Finais do Ensino Fundamental da Educação Básica - Programa Escola das Adolescências.
3.9.s	3.9	alinea	avaliativo_comum	7	True	Portaria nº 451, de 16 de maio de 2018, que define critérios e procedimentos para a produção, a recepção, a avaliação e a distribuição de recursos educacionais abertos ou gratuitos voltados para a Educação Básica em programas e plataformas oficiais do Ministério da Educação;
3.10	3	item	avaliativo_comum	8	True	Em respeito ao arcabouço legal vigente, todas as obras, de forma continuada, interseccional e assertiva, devem atender aos seguintes requisitos:
3.10.a	3.10	alinea	avaliativo_comum	8	True	Estar isentas de preconceitos de condição socioeconômica, regional, étnico -racial, gênero, orientação sexual, idade, linguagem, religiosidade, condição de deficiência, assim como de qualquer outra forma de discriminação, de violência ou de violação de direitos humanos.
3.10.b	3.10	alinea	avaliativo_comum	8	True	Garantir o caráter laico e autônomo da educação pública.
3.10.c	3.10	alinea	avaliativo_comum	8	True	Destacar a presença de maiorias menorizadas em diferentes esferas sociais e profissionais, promovendo a visibilidade e o protagonismo social de todas as pessoas.
3.10.d	3.10	alinea	avaliativo_comum	8	True	Evidenciar a cultura, a história e a imagem afro-brasileira, quilombola, dos povos indígenas e dos povos do campo, reconhecendo seus saberes, suas tradições, seus corpos e seus modos de organização social, destacando-os nos textos, nas atividades, nas fotografias e nas imagens, sem estigmatizá-los.
3.10.e	3.10	alinea	avaliativo_comum	8	True	Promover práticas de argumentação fundamentadas em dados científicos , voltadas à reflexão sobre os princípios éticos necessários à construção da cidadania.
3.10.f	3.10	alinea	avaliativo_comum	8	True	Estar isenta de imagens e de textos que contenham qualquer tipo de violência, conforme disposto no Parecer CNE/CEB nº 15/2000.
3.9.t	3.9	alinea	avaliativo_comum	8	True	Normas sobre Computação na Educação Básica – Complemento à BNCC (Resolução CNE/CE nº 1/2022);
3.9.u	3.9	alinea	avaliativo_comum	8	True	Resolução FNDE nº 11, de 16 de agosto de 2023, que dispõe sobre as normas de conduta no âmbito do Programa Nacional do Livro e do Material Didático (PNLD);
3.9.v	3.9	alinea	avaliativo_comum	8	True	Guia Alimentar para a População Brasileira (Recomendação nº 14/2024/CONSEA/SG/PR);
3.9.w	3.9	alinea	avaliativo_comum	8	True	Parecer sobre a Pertinência do Uso de Imagens Comerciais nos Livros Didáticos (CNE/CEB nº 15/2000);
3.9.x	3.9	alinea	avaliativo_comum	8	True	Guia Sobre Uso de Dispositivos Digitais (Brasil, 2025).
4.1	4	item	avaliativo_objeto	8	True	As obras didáticas (Categoria 1) devem ser projetadas de modo a assegurar que o processo de aprendizagem ocorra de forma contínua e organizada, reconhecendo o professor como o responsável pela organização d as ações pedagógicas e os estudantes como protagonistas das próprias aprendizagens.
4.2	4	item	avaliativo_objeto	8	True	Para efeitos da análise pedagógica e da atuação avaliativa da Comissão Técnica, consideram -se, além da pertinência pedagógica, a adequação à faixa etária, a proteção integral da criança e do adolescente, bem como o respeito à pluralidade de ideias e à diversidade étnico-cultural.
